Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T01,High,California,Data Privacy,GDPR,IT,Vendor Cloud,2021-01-03 12:46:36,2021-01-03 12:48:31,2021-06-03 16:35:26,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T02,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-01-04 09:52:44,2021-01-04 10:12:46,2021-01-17 09:44:31,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T03,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,2021-01-04 10:11:07,2021-01-04 10:11:31,2021-01-04 11:43:40,Allan,Excellent (5),Recommended Threat Assessment,,Personal Call
T04,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,2021-01-04 10:55:13,2021-01-04 10:55:31,2021-01-18 11:06:54,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T05,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,2021-01-04 21:58:33,2021-01-04 22:13:03,2021-01-11 12:20:42,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T06,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,2021-01-05 00:00:56,2021-01-05 09:24:48,2021-01-07 21:30:32,Sebastian,Satisfactory (3),Resolved,,Mail
T07,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,2021-01-05 21:27:59,2021-01-05 21:45:26,2021-01-07 20:14:33,Martina,Good (4),Advised for a risk assessment,,Personal Call
T08,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,2021-01-05 21:33:49,2021-04-28 22:11:07,2021-01-10 18:30:56,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T09,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,2021-01-06 19:36:07,2021-07-08 01:39:57,2021-01-11 10:17:39,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T10,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,2021-01-06 19:47:31,2021-01-06 20:09:09,2021-01-10 11:04:50,Sylviya,Good (4),Advised for a risk assessment,,Personal Call
T100,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,2021-03-13 21:53:10,2021-03-13 21:54:06,2021-03-17 18:36:34,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T101,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,2021-03-19 04:21:57,2021-03-19 04:22:22,2021-03-19 04:23:53,Benny,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T102,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-03-19 06:14:24,2021-03-19 06:16:49,2021-03-25 14:25:53,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal
T103,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,2021-03-20 08:44:59,2021-03-20 08:45:18,2021-03-20 08:52:51,Martina,Excellent (5),Advised for a risk assessment,,Personal Call
T104,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,2021-03-21 18:18:12,2021-03-21 18:31:29,2021-06-09 12:11:32,Robbin,Excellent (5),Resolved,,Ticket Portal
T105,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,2021-03-25 18:56:04,2021-03-25 19:49:43,2021-03-25 19:49:43,Sebastian,Excellent (5),Advised for a risk assessment,,Personal Call
