text,priority,category,resolution
Phishing email detected from suspicious IP address,High,Phishing,Blocked sender and notified user
Malware found in email attachment on workstation WS-101,Critical,Malware,Quarantined file and ran full scan
Unauthorized login attempt from unknown device in Europe,High,Access Control,Forced password reset and enabled MFA
DDoS attack detected on public web server,Critical,Network,Activated DDoS mitigation and blocked IPs
Ransomware alert triggered on workstation WS-204,Critical,Ransomware,Isolated machine and restored from backup
Brute force attack on SSH service from 203.0.113.42,High,Network,Blocked IP and enabled fail2ban
Insider threat alert large file download after hours,High,Insider Threat,Reviewed logs and interviewed employee
Credential stuffing attack on customer login portal,Critical,Access Control,Enabled CAPTCHA and rate limiting
Malicious DNS query blocked by firewall,Medium,Network,Updated firewall rules
Critical vulnerability in unpatched VPN appliance,Critical,Vulnerability,Applied emergency patch
