Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via,text
T01,High,California,Data Privacy,GDPR,IT,Vendor Cloud,2021-01-03 12:46:36,2021-01-03 12:48:31,2021-06-03 16:35:26,Bob,Excellent (5),Advised for a risk assessment,,Personal Call,Data Privacy GDPR Advised for a risk assessment High IT
T02,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-01-04 09:52:44,2021-01-04 10:12:46,2021-01-17 09:44:31,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation BCP/DR Recommended Threat Assessment Low IT
T03,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,2021-01-04 10:11:07,2021-01-04 10:11:31,2021-01-04 11:43:40,Allan,Excellent (5),Recommended Threat Assessment,,Personal Call,Cyber Security Breach Firewall Recommended Threat Assessment High HR
T04,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,2021-01-04 10:55:13,2021-01-04 10:55:31,2021-01-18 11:06:54,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal,Security Gap Password non-expiry Advised for a risk assessment Low IT
T05,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,2021-01-04 21:58:33,2021-01-04 22:13:03,2021-01-11 12:20:42,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Malware Attack Recommended Threat Assessment High Legal
T06,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,2021-01-05 00:00:56,2021-01-05 09:24:48,2021-01-07 21:30:32,Sebastian,Satisfactory (3),Resolved,,Mail,Cyber Consultation New Application Launch Resolved Low Finance
T07,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,2021-01-05 21:27:59,2021-01-05 21:45:26,2021-01-07 20:14:33,Martina,Good (4),Advised for a risk assessment,,Personal Call,Cyber Consultation Application Offboarding Advised for a risk assessment High Marketing
T08,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,2021-01-05 21:33:49,2021-04-28 22:11:07,2021-01-10 18:30:56,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal,Data Leak Insider Threat Recommended Threat Assessment High IT
T09,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,2021-01-06 19:36:07,2021-07-08 01:39:57,2021-01-11 10:17:39,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal,Data Privacy HIPAA Advised for a risk assessment High Legal
T10,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,2021-01-06 19:47:31,2021-01-06 20:09:09,2021-01-10 11:04:50,Sylviya,Good (4),Advised for a risk assessment,,Personal Call,Cyber Consultation Segregation of Duties Advised for a risk assessment Low Manufacturing
